Generacion 0
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'j', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'f', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 's', 'l', 'a']
['e', 'o', 'l', 'k']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'w', 'l', 'a']
['e', 'a', 'l', 'a']
['e', 'o', 'j', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'n', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'c', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'j', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'b']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'q']
['e', 'o', 'h', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'm']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'a', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 't', 'a']
['e', 'o', 'a', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'x']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'd', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'a', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
--------------------------------
Generacion 99
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'z', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'z', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'h', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'x']
['e', 'o', 'l', 'm']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'd', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'i', 'a']
['e', 'o', 'k', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'g', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'r']
['e', 'o', 'l', 'a']
